year,postcode,suburb,emission_source,total_gas_gj,average_intensity_gj_per_customer_per_annum,average_intensity_mj_per_customer_per_day,scope_1_kg_co2e,scope_3_kg_co2e,total_emissions_kg_co2e,average_emissions_per_customer_kg_co2e,average_emissions_energy_per_customer_kg_co2e_per_day,rest_of_municipality_total_gas_gj,rest_of_municipality_emissions_kg_co2e,total_cost,average_intensity_household_per_day,average_intensity_household_per_month,average_intensity_household_per_annum
2020,3156,Lysterfield South,Gas,13345.0,58.0,159.0,687716.0,53383.0,741100.0,3236.0,8.0,6407197.0,493785069.0,403526.0,4.0,146.0,1762.0
2020,3177,Doveton and Eumemmerring,Gas,194565.0,41.0,114.0,10025954.0,778261.0,10804216.0,2328.0,6.0,6225977.0,483721953.0,6374056.0,3.0,114.0,1373.0
2020,3802,Endeavour Hills,Gas,520361.0,61.0,167.0,26814212.0,2081444.0,28895656.0,3389.0,9.0,5900181.0,465630513.0,15581579.0,5.0,152.0,1827.0
2020,3803,Hallam,Gas,194472.0,51.0,141.0,10021190.0,777891.0,10799081.0,2863.0,7.0,6226071.0,483727088.0,6043889.0,2.0,65.0,780.0
2020,3804,Narre Warren North,Gas,166954.0,81.0,223.0,8603163.0,667817.0,9270980.0,4529.0,12.0,6253589.0,485255189.0,4739396.0,2.0,90.0,1080.0
2020,3805,Narre Warren and Narre Warren South,Gas,1107217.0,59.0,162.0,57054899.0,4428868.0,61483768.0,3289.0,9.0,5313326.0,433042401.0,33362404.0,2.0,73.0,878.0
2020,3806,Berwick and Harkaway,Gas,1067603.0,60.0,167.0,55013586.0,4270412.0,59283998.0,3386.0,9.0,5352940.0,435242171.0,31973188.0,2.0,74.0,890.0
2020,3807,Beaconsfield,Gas,10473.0,64.0,176.0,539680.0,41892.0,581573.0,3567.0,9.0,6410069.0,493944596.0,310359.0,5.0,158.0,1904.0
2020,3912,Pearcedale,Gas,64778.0,50.0,137.0,3338043.0,259114.0,3597158.0,2792.0,7.0,6355764.0,490929011.0,2025244.0,4.0,131.0,1572.0
2020,3975,Lynbrook and Lyndhurst,Gas,281119.0,56.0,153.0,14486105.0,1124479.0,15610584.0,3112.0,8.0,6139424.0,478915585.0,8572496.0,2.0,69.0,835.0
2020,3976,Hampton Park,Gas,416662.0,49.0,135.0,21470599.0,1666648.0,23137247.0,2736.0,7.0,6003881.0,471388922.0,13090893.0,2.0,63.0,766.0
2020,3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",Gas,1786990.0,48.0,133.0,92083629.0,7147962.0,99231592.0,2713.0,7.0,4633553.0,395294577.0,56258895.0,2.0,66.0,794.0
2020,3978,Clyde and Clyde North,Gas,565930.0,43.0,119.0,29162375.0,2263720.0,31426095.0,2422.0,6.0,5854613.0,463100074.0,18342260.0,1.0,56.0,682.0
2020,3980,"Blind Bight , Tooradin and Warneet",Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6420543.0,494526169.0,0.0,0.0,0.0,0.0
2021,3156,Lysterfield South,Gas,13345.0,58.0,159.0,687716.0,53383.0,741100.0,3236.0,8.0,6407197.0,355791658.0,417302.0,4.0,151.0,1822.0
2021,3177,Doveton and Eumemmerring,Gas,194565.0,41.0,114.0,10025954.0,778261.0,10804216.0,2328.0,6.0,6225977.0,345728542.0,6517402.0,3.0,117.0,1404.0
2021,3802,Endeavour Hills,Gas,520361.0,61.0,167.0,26814212.0,2081444.0,28895656.0,3389.0,9.0,5900181.0,327637101.0,16136475.0,5.0,157.0,1892.0
2021,3803,Hallam,Gas,192935.0,50.0,139.0,9941984.0,771743.0,10713728.0,2831.0,7.0,6227607.0,345819030.0,6190510.0,4.0,136.0,1635.0
2021,3804,Narre Warren North,Gas,165296.0,80.0,219.0,8517733.0,661186.0,9178919.0,4457.0,12.0,6255246.0,347353839.0,4909479.0,6.0,198.0,2384.0
2021,3805,Narre Warren and Narre Warren South,Gas,1086444.0,57.0,158.0,55984494.0,4345778.0,60330273.0,3210.0,8.0,5334098.0,296202485.0,34020668.0,4.0,150.0,1810.0
2021,3806,Berwick and Harkaway,Gas,1057852.0,59.0,162.0,54511137.0,4231409.0,58742547.0,3292.0,9.0,5362690.0,297790211.0,32973554.0,5.0,154.0,1848.0
2021,3807,Beaconsfield,Gas,10516.0,62.0,170.0,541889.0,42064.0,583953.0,3455.0,9.0,6410027.0,355948805.0,325002.0,5.0,160.0,1923.0
2021,3912,Pearcedale,Gas,63061.0,48.0,132.0,3249553.0,252245.0,3501798.0,2691.0,7.0,6357481.0,353030959.0,2044770.0,4.0,130.0,1571.0
2021,3975,Lynbrook and Lyndhurst,Gas,282095.0,55.0,151.0,14536402.0,1128383.0,15664785.0,3069.0,8.0,6138447.0,340867972.0,8908432.0,4.0,145.0,1745.0
2021,3976,Hampton Park,Gas,404364.0,47.0,130.0,20836880.0,1617456.0,22454337.0,2648.0,7.0,6016179.0,334078421.0,13156753.0,4.0,129.0,1551.0
2021,3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",Gas,1793566.0,47.0,130.0,92422504.0,7174267.0,99596771.0,2646.0,7.0,4626976.0,256935986.0,58367644.0,4.0,129.0,1550.0
2021,3978,Clyde and Clyde North,Gas,636136.0,43.0,119.0,32780123.0,2544546.0,35324669.0,2413.0,6.0,5784406.0,321208088.0,21131332.0,3.0,120.0,1443.0
2021,3980,"Blind Bight , Tooradin and Warneet",Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6420543.0,356532758.0,0.0,0.0,0.0,0.0
2022,3156,Lysterfield South,Gas,13345.0,58.0,159.0,687716.0,53383.0,741100.0,3236.0,8.0,6432573.0,357200787.0,417302.0,4.0,151.0,1822.0
2022,3177,Doveton and Eumemmerring,Gas,194565.0,41.0,114.0,10025954.0,778261.0,10804216.0,2328.0,6.0,6251353.0,347137672.0,6517402.0,3.0,117.0,1404.0
2022,3802,Endeavour Hills,Gas,520361.0,61.0,167.0,26814212.0,2081444.0,28895656.0,3389.0,9.0,5925557.0,329046231.0,16136475.0,5.0,157.0,1892.0
2022,3803,Hallam,Gas,190366.0,50.0,137.0,9809602.0,761467.0,10571069.0,2778.0,7.0,6255552.0,347370818.0,6131869.0,4.0,134.0,1611.0
2022,3804,Narre Warren North,Gas,160717.0,77.0,212.0,8281782.0,642870.0,8924652.0,4303.0,11.0,6285201.0,349017235.0,4797486.0,6.0,192.0,2313.0
2022,3805,Narre Warren and Narre Warren South,Gas,1062896.0,56.0,154.0,54771056.0,4251586.0,59022642.0,3131.0,8.0,5383022.0,298919245.0,33437340.0,4.0,147.0,1774.0
2022,3806,Berwick and Harkaway,Gas,1045830.0,57.0,156.0,53891648.0,4183322.0,58074970.0,3180.0,8.0,5400088.0,299866917.0,32805357.0,4.0,149.0,1796.0
2022,3807,Beaconsfield,Gas,9769.0,51.0,140.0,503413.0,39077.0,542491.0,2840.0,7.0,6436149.0,357399397.0,313256.0,4.0,136.0,1640.0
2022,3912,Pearcedale,Gas,60951.0,46.0,127.0,3140827.0,243805.0,3384633.0,2591.0,7.0,6384967.0,354557255.0,1992564.0,4.0,127.0,1525.0
2022,3975,Lynbrook and Lyndhurst,Gas,284160.0,54.0,150.0,14642784.0,1136641.0,15779426.0,3046.0,8.0,6161758.0,342162462.0,8986506.0,4.0,144.0,1734.0
2022,3976,Hampton Park,Gas,395628.0,46.0,126.0,20386757.0,1582515.0,21969273.0,2572.0,7.0,6050290.0,335972615.0,12954230.0,4.0,126.0,1516.0
2022,3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",Gas,1789639.0,46.0,127.0,92220100.0,7158556.0,99378656.0,2576.0,7.0,4656280.0,258563231.0,58579204.0,4.0,126.0,1518.0
2022,3978,Clyde and Clyde North,Gas,717685.0,44.0,120.0,36982354.0,2870743.0,39853098.0,2449.0,6.0,5728233.0,318088789.0,23757771.0,4.0,121.0,1460.0
2022,3980,"Blind Bight , Tooradin and Warneet",Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6445919.0,357941888.0,0.0,0.0,0.0,0.0
